正文,真实值,预测值
口腔 科学 临床医学 教学 有机 组成部分 非 口腔 专业本科 学生 缺乏 口腔 相关 基础知识 系统 学习 教学 难度 该文 提高 非 口腔 专业 学生 思想认识 合理安排 教学内容 更新 教学方法 手段 教学 水平 质量 提高,0,[0.00093476]
研究 苦丁茶 黄酮 半胱氨酸 蛋白酶 蛋白 活化 诱导 口腔 癌细胞 凋亡 效果 观察 实验 发现 浓度 苦丁茶 黄酮 抑制 癌细胞 生长 影响 口腔 角质 细胞 细胞 增殖 浓度 苦丁茶 黄酮 癌细胞 生长 抑制率 超过 浓度 下市售 大豆 异黄酮 胶囊 物 检测 癌细胞 表达 强度 发现 对照 癌细胞 苦丁茶 黄酮 上调 癌细胞 中 相关 蛋白 凋亡 相关 因子 凋亡 相关 因子 配体 表达 下调 淋巴细胞 瘤 细胞 凋亡 抑制 蛋白 表达 苦丁茶 黄酮 浓度 升高 趋势 进一步 实验 证实 苦丁茶 黄酮 体外 活化 诱导 癌细胞 凋亡 效果,0,[1.0772927e-06]
中医 临床 辨证 性 口腔溃疡 病因 病机 饮食 不节 情志 变化 气血 失调 内蕴 湿热 因素 疾病 症型 尚无 统一 观点 笔者 顽固性 口腔溃疡 治疗 展开 深入研究 借鉴 名家 治疗 经验 临床 治疗 效果 现将 临床 辨治 心得 介绍,0,[5.6815406e-05]
目的 探讨 口腔 黏膜 自体 皮肤 混合 微粒 移植 基础 联合 脱 细胞 同种 异体 真皮 再造 阴道 疗效 方法 年 月 年 月 收治 例 先天性 阴道 患者 例 采用 口腔 黏膜 自体 皮肤 混合 微粒 对照组 再造 阴道 例 联合 脱 细胞 同种 异体 真皮 试验 组 两组 患者 年龄 差异 统计学 意义 两组 再造 阴道 深度 周径 容积 创面 上皮 化 时间 脱离 模具 时间 术后 性生活 患者 女性 性功能 量表 评分 两组 手术 时间 术 中 出血量 差异 统计学 意义 两组 患者 术后 获 随访 随访 时间 月 平均 月 试验 组 例 对照组 例有 性生活 对照组 例 试验 组 例 术后 出血 再造 阴道 未 狭窄 两组 创面 上皮 化 时间 差异 统计学 意义 试验 组 术后 脱离 模具 时间 短于 对照组 随访 观察 再造 阴道 湿润 光滑 富有 弹性 毛发 生长 末次 随访 时 两组 再造 阴道 深度 周径 容积 差异 统计学 意义 对照组 例 患者 评分 分 诊断 性功能 不良 外 患者 性功能 两组 评分 各项 评分 差异 统计学 意义 结论 口腔 黏膜 自体 皮肤 混合 微粒 移植 基础 联合 脱 细胞 同种 异体 真皮 再造 阴道 创伤 外观 性功能 恢复正常 口腔 供区 破坏 优点 脱 细胞 同种 异体 真皮 提供 可靠 支架 结构 抵抗 腔 穴 挛缩 弥补 混合 微粒 再造术 需 长期 佩戴 模具,0,[0.02056601]
目的 探讨 认知 干预 口腔 门诊 拔牙 患者 中 效果 方法 选择 年 月 年 月 我院 口腔科 门诊 拔牙 患者 例 研究 对象 就诊 顺序 随机 分为 对照组 干预 组 每组 例 两组 患者 接受 拔牙 常规 治疗 护理 干预 组在 此基础 实施 认知 干预 两组 焦虑 情况 疼痛 程度 心率 血压 干预 组 焦虑 疼痛 程度 低于 对照组 差异 统计学 意义 干预 组 心率 血压 优于 对照组 结论 认知 干预 程度 缓解 患者 焦虑 疼痛 程度 增加 手术 安全性,1,[0.9988569]
目的 研究 中西医 治疗 口腔 白斑 效果 方法 随机 选取 我院 例 口腔 白斑 患者 研究 对象 随机 分为 观察 组和 对照组 每组 例 观察 组 中西医 疗法 对照组 西医 常规 疗法 两组 疗效 治疗 观察 组 患者 总 有效率 对照组 观察 组 高于 对照组 结论 中西医 疗法 治疗 口腔 白斑 快速 效果 临床 中 推广,1,[0.9992939]
目的 观察 菌斑 显示 剂 轻中度 牙周炎 稳定期 种植义齿 修复 病例 预防 早期 种植体 疾病 中 作用 方法 例 轻中度 牙周炎 稳定期 病例 种植义齿 修复 患者 年 种植 修复 牙周 维护 期间 患者 口腔 自我 维护 中 菌斑 显示 剂 观察 种植体 黏膜炎 发生率 种植 修复 年内 两组 种植体 黏膜炎 平均 发生率 两组 差异 统计学 意义 结论 系统 口腔 健康 教育 菌斑 自我 控制 降低 牙周炎 患者 种植体 黏膜炎 发生,0,[0.01113]
目的 兰州 地区 人群 牙周 健康状况 检测 牙周 健康 牙周 疾病 患者 口腔 唾液 中 牙龈 卟 啉 单胞菌 阳性率 兰州 地区 人群 防治 牙周 疾病 提供 科学依据 方法 收集 例 唾液 标本 采用 常规 厌氧 培养 法 挑取产 黑色素 菌落 革兰 染色 生化 鉴定 兰州 地区 人群 牙周 疾病 患病率 男女 性别 间 差异 统计学 意义 农村 人群 高于 城市 人群 差异 统计学 意义 年龄段 差异 统计学 意义 年龄 增长 患病率 呈 增长 趋势 兰州 地区 人群 唾液 中 总 阳性率 牙周 疾病 组 高于 牙周 健康 组 差异 统计学 意义 结论 兰州 地区 人群 牙周 健康状况 生活 环境 年龄 性别 牙周 健康状况 人群 中 牙龈 卟 啉 单胞菌 分布,0,[0.00063658]
正 世纪 人类 追求 健康 世纪 享有 保健 新 时代 健康 人生 宝贵 财富 健康 身心 无从谈起 近几年 经济 发展 健康 增加 特别 是从 身体 精神 双面 健康 保障 改变 生活 方式 需求 市场 市场 自由竞争 中 健康 产业 朝阳 趋势 改变 参与 方式 慢慢 发生 改变,0,[4.1626026e-05]
正 乳牙 牙髓 病是 儿童 口腔科 临床 工作 中 常见病 牙体 缺损 牙列 缺失 原因 影响 患儿 身心健康 我国 儿童 牙体 牙髓 病 治疗 较大 儿童 口腔科 专职 医生 少 特别 基层医院 儿童 牙病 重视 程度 治疗 原则 不清 患儿 得不到 完善 治疗 生长发育 带来 不良影响 新型 生物 相容性 材料 边缘 封闭性 牙科 材料 发展 处于 可逆性 牙髓炎 状态 患牙 保髓 治疗,0,[0.00040192]
口腔医学 本科生 临床 能力 培养 当今 口腔医学 教育 重点 口腔医学 临床 实习 教学 现状 文章 阐述 疾病 线 教学方法 口腔 修复 学 教学 中 作用 意义 进一步 探讨 疾病 线 教学方法,0,[3.0132536e-05]
目的 锥形 束 探讨 上颌 腭 侧 埋伏 阻生 尖牙 埋伏 特征 邻牙 牙根 吸收 情况 方法 选取 南京医科大学 附属 口腔医院 正畸 科 就诊 上颌 尖牙 腭 侧 埋伏 阻生 青少年 患者 例 获取 三维 数据 软件 分析 腭 侧 埋伏 尖牙 埋伏 状况 邻牙 位置 关系 分类 观察 邻牙 牙根 吸收 情况 上颌 腭 侧 埋伏 尖牙 近中 腭 倾斜 阻生 近中 异位 Ⅰ 类 Ⅳ 类 多见 占 近中 倾斜 角度 ° ° 腭 侧 异位 正中 矢状面 年龄 越大 上颌 腭 侧 埋伏 尖牙 近中 腭 异位 越 远 近中 倾斜 角度 越大 相邻 侧 切牙 中 切牙 牙根 埋伏 尖牙 接触 相邻 侧 切牙 邻 中 切牙 牙根 吸收 相邻 侧 切牙 吸收 位于 根尖 相邻 中 切牙 吸收 位于 根中 相邻 切牙 牙根 吸收 概率 腭 侧 埋伏 尖牙 切牙 间 最小 距离 呈 反比 关系 结论 三维 方向 诊断 上颌 尖牙 埋伏 状况 邻近 组织 关系 准确 判断 邻 牙根 吸收 情况 准确 测量 埋伏 尖牙 倾斜度 埋伏 深度 上颌 腭 侧 埋伏 尖牙 治疗 提供 指导,0,[0.00011881]
微生物 代谢 组学 诞生 年 研究 包括 样本 采集 样本 检测 数据分析 早期 微生物 代谢 组学 用于 菌株 特性 生物学 鉴定 代谢 组学 技术 微生物 表型 分类 突变体 筛选 代谢 途径 微生物 代谢工程 发酵 工程 监控 优化 微生物 环境 污染物 口腔医学 领域 微生物 代谢 组学 技术 微生物 鉴定 龋病 牙周病 唇腭裂 口腔 肿瘤 研究 中皆有 最多 用于 口腔 中 龋 菌 牙周 致病菌 代谢 产物 分析 微生物 代谢 组学 技术 检测 菌株 间 差异 有望 口腔 微生物 快速 鉴定 新 技术 本文 微生物 代谢 组学 研究 策略 进展 作一 综述 提出 未来 研究 中 面临 难题,0,[1.6503197e-06]
研究 口腔 专业 学生 中 预见 习 活动 教学效果 影响 遵义 医学院 利用 假期 预见 习 名 学生 问卷调查 结果显示 预见 习 活动 提高 学生 学习 兴趣 积极性 培养 学生 责任感 交流 能力 提高 理论课 临床 技能 课 教学效果 预见 习中 分析 提出 改进 措施 医学教育 模式 改革 做 有益 探索,0,[6.190811e-05]
