扩散,1
收效,1
切牙,49
含漱法,1
欧柏宁组,2
反弹,1
拆,3
于牙,1
洞,4
健康,186
甘露,6
优势,25
肟,1
妊娠,1
吐,1
败毒,3
金黄色,1
新增,3
常州市,1
后龈,2
必兰,1
施药,6
论文,3
第二军医大学,1
永修县,1
同法,2
例牙列,5
氮,8
热压,9
随机对照,10
对牙体,1
口干症,1
针药组,3
正品,4
三种,17
一段时间,3
前低,1
大青叶,1
孕妇,6
人民,12
铂,10
呼和浩特,1
光华,1
令皮欣,2
条,3
自我管理,4
含漱能,2
皆,2
顽固性,16
开喉,12
率经,1
下颌,78
优越性,4
负,5
坐位,1
勇气,1
计划,9
吸吮,13
社交,1
抽取,21
所致,39
不易,3
压疮,8
多点,4
胃内,1
敌对,1
喉癌,13
相,9
阻生牙,17
素高捷疗,1
皮瓣,24
组晨起,1
唇,6
急救,2
哭闹,4
均值,1
流量,3
仪对,1
有无,11
但经,1
天引,1
庆大霉素,17
实训,10
高敏,1
酒精,1
组总,102
固化,2
组仅,3
凸距,25
份,1
补液,3
咪唑,16
钙,5
复发性,353
引发,15
危险性,2
肌肌电,2
残根,20
舌癌,8
粘结,4
龋坏,1
尝试,1
合谷,1
肠内,7
降温,1
乳牙,9
签字,2
愈合,258
覆于,1
心,1
期中,5
热疗,6
颊,14
肝肾,1
合理性,1
氟化钠,1
转重,1
脱位,7
棉球,29
适度,1
咬伤,1
吸入性,14
寻找,1
离室,1
整复,31
肌围,1
闭合,2
例因,1
窝沟,28
合格率,4
恶性,4
聚维酮,14
细菌,62
意,1
类似,1
伤牙,1
委员会,3
病患,12
压力,1
用于,97
学,4
伴牙列,19
淡盐水,1
单次,2
颌,10
平整,10
伴发,2
癌症,1
平均,136
务必,1
组对,8
闭经,1
收入,2
住院治疗,6
病程,32
冠在,1
抽搐,2
住院,132
完善,3
橡皮障,4
不锈钢板,1
对策,12
西吡氯胺,2
切皮时,2
按区,1
舌下腺,4
射频,28
越,4
笔者,10
介入,1
牙槽,14
胸,4
除术,3
智牙,5
移植,22
两组,1653
平均年龄,3
评级,2
牙线,2
空腔,1
导向,4
埋伏牙,1
特发性,7
龙,13
操作手册,1
入住,5
潜伏期,1
断冠,4
白芍,18
感受,2
羧甲,3
有助于,19
收集,20
缘,2
牙槽骨,11
教育,112
妇幼,1
组术,1
严重者,2
特级,1
暴露,8
比值,3
适宜,9
反生,1
吉林省,1
振动,4
连服,3
面部,22
茶叶,5
形状,1
速效,5
结扎,12
银连,2
口腔,3835
体与球,3
血栓,1
伴骨量,1
健康人,4
理念,10
妇幼卫生,1
变为,1
片,138
无力,3
预后,21
神经管,2
普通型,11
半小时,1
窦,12
牙胚,7
实用性,1
保证,6
近期,26
糖化,1
过敏,1
可能性,2
而增,1
电视,1
持续时间,10
疱疹,115
前用,4
临床试验,7
负担,4
气,10
单磷酸,15
高于,554
我院,371
两种,92
成活,3
圈,2
口腔医学,29
泼尼松,17
减慢,2
消溃,1
聚糖,6
例,2925
干细胞,13
卡局,2
考检,1
双线,6
效及,1
组失活,1
当日,5
元素,1
谵妄,5
同一时间,1
气涡轮,4
邢台,1
甘油,2
咽,17
运动,32
伴牙合龈,1
芦根,1
畅,2
组则,26
完成率,1
循,1
头孢曲松,4
置入,12
一长,3
肌胞,1
如实,1
压缩,1
糊涂,1
肛门,1
口香糖,13
组选冠,1
上臂,1
现有,3
蕴热型,1
本科生,8
张,1
阳性率,23
蛋白酶,3
乳酸,2
追踪,2
污渍,2
分压,1
新液,136
龈切除术,2
血去,4
中及,5
哌唑,34
质量,140
处置,2
考察,2
吉林,1
有序,1
新,31
左奥,8
山药,2
大同市,1
属,9
山茱萸,1
策略,3
口内支抗,1
自制,53
低位,13
辨证,25
放射性,185
中西,5
为良,2
双频,1
抗菌剂,2
口洁素,10
共情,3
性佳,1
找出,1
该组,1
酪蛋白,3
通用,1
率均,15
解放军,3
丹皮,1
厦门大学,1
口腔粘膜,48
根冠,1
金玉,4
长征医院,1
浓,8
多西,9
占据,3
吸收,24
表征,1
维,4
理论依据,5
生存期,4
急诊科,3
发表,3
五味子,5
单牙,1
通气,82
规律,2
入组,3
味觉,9
防治,105
即可,2
平衡,10
维护,22
排龈,9
痛快,1
粘附,2
粘贴,12
葡萄糖,9
下均,1
并行,4
双赢,1
多饮水,1
左右侧,3
解剖,1
口腔科,92
多种,7
均行,9
血液科,1
性状,1
美容,34
腹泻,13
最优,2
皮,2
糊剂,11
煎剂,11
包,4
旨在,4
钩,4
偏执,1
法为,1
半边莲,4
组多为,1
近取,1
喷涂,4
成膜,4
金属材料,2
危儿,5
后口,2
细菌学,4
浓缩,1
基础性,1
拍,2
生物,14
药疹,4
导管,18
心理咨询,3
腺体,2
根治性,7
圆锥,6
大蒜素,9
交叉,2
毛玻璃,1
海棉,1
静滴,1
呕吐,19
排齐,14
腰,3
嵴,7
立体,1
和谐,2
合用,8
引组,1
入院,33
整群,9
陶瓷材料,8
瘟,4
控制率,3
